,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
59,2022-04-08,2330,31406384,17821660486,567.0,570.0,566.0,567.0,1.0,75778
60,2022-04-11,2330,41713758,23401330531,563.0,566.0,558.0,558.0,-9.0,130731
61,2022-04-12,2330,34799056,19418030839,554.0,564.0,552.0,557.0,-1.0,69280
62,2022-04-13,2330,36968137,21134384849,564.0,576.0,563.0,573.0,16.0,41249
63,2022-04-14,2330,20224847,11618596373,577.0,578.0,573.0,573.0,0.0,27442
64,2022-04-15,2330,33158930,18667922752,562.0,566.0,561.0,562.0,-11.0,99936
65,2022-04-18,2330,16579296,9311198146,559.0,566.0,558.0,561.0,-1.0,31712
66,2022-04-19,2330,18811242,10639032272,566.0,569.0,563.0,565.0,4.0,24598
67,2022-04-20,2330,28240222,16016967192,570.0,570.0,562.0,570.0,5.0,28615
68,2022-04-21,2330,21539083,12221437009,571.0,571.0,565.0,565.0,-5.0,28847
69,2022-04-22,2330,35567672,19849449551,558.0,559.0,557.0,558.0,-7.0,81550
70,2022-04-25,2330,49067362,26907070565,550.0,552.0,546.0,547.0,-11.0,165619
71,2022-04-26,2330,39549934,21628474846,550.0,551.0,544.0,546.0,-1.0,90252
72,2022-04-27,2330,65034122,34416315121,530.0,532.0,526.0,526.0,-20.0,217895
73,2022-04-28,2330,50406145,26653291522,530.0,532.0,523.0,531.0,5.0,79897
74,2022-04-29,2330,39960198,21586196160,547.0,547.0,535.0,538.0,7.0,41498
75,2022-05-03,2330,29502561,15790689728,538.0,540.0,530.0,531.0,-7.0,48050
76,2022-05-04,2330,17305449,9229779558,533.0,537.0,530.0,534.0,3.0,27460
77,2022-05-05,2330,22540182,12209716759,543.0,544.0,539.0,542.0,8.0,26904
78,2022-05-06,2330,34512038,18241210653,528.0,531.0,526.0,528.0,-14.0,66208
79,2022-05-09,2330,27309304,14249571058,523.0,524.0,520.0,520.0,-8.0,82004
80,2022-05-10,2330,44322247,22673191861,506.0,519.0,505.0,518.0,-2.0,83371
81,2022-05-11,2330,28109896,14662149551,518.0,526.0,518.0,521.0,3.0,40227
82,2022-05-12,2330,35824788,18310112210,516.0,518.0,505.0,505.0,-16.0,107513
83,2022-05-13,2330,30204773,15412261905,507.0,514.0,506.0,511.0,6.0,37707
84,2022-05-16,2330,22012610,11472463517,521.0,524.0,518.0,520.0,9.0,30034
85,2022-05-17,2330,25812051,13627135311,521.0,533.0,520.0,530.0,10.0,30826
86,2022-05-18,2330,33605299,18075946322,541.0,541.0,534.0,538.0,8.0,34913
